Name,In Use,Type,Recipe ID \ Material ID,Material,Gold,Wood Log,Copper Ore,Iron Ore
,,,,,,MAT_WOOD_LOG,MAT_COPPER_ORE,MAT_IRON_ORE
M1887,TRUE,Weapon,REC_M1887,0,0,0,0,0
M1014,TRUE,Weapon,REC_M1014,0,0,0,0,0
Mag7,TRUE,Weapon,REC_MAG7,0,0,0,0,0
Trogon,TRUE,Weapon,REC_TROGON,0,0,0,0,0
Charge Buster,TRUE,Weapon,REC_CHARGE,0,0,0,0,0
AN94,TRUE,Weapon,REC_AN94,0,0,0,0,0
M4A1,TRUE,Weapon,REC_M4A1,0,0,0,0,0
AK47,TRUE,Weapon,REC_AK47,0,0,0,0,0
Scar,TRUE,Weapon,REC_SCAR,0,0,0,0,0
Groza,TRUE,Weapon,REC_GROZA,0,0,0,0,0
MP5,TRUE,Weapon,REC_MP5,0,0,0,0,0
UMP,TRUE,Weapon,REC_UMP,0,0,0,0,0
Bizon,TRUE,Weapon,REC_BIZON,0,0,0,0,0
P90,TRUE,Weapon,REC_P90,0,0,0,0,0
MP40,TRUE,Weapon,REC_MP40,0,0,0,0,0
Kar98,TRUE,Weapon,REC_KAR98,0,0,0,0,0
SKS,TRUE,Weapon,REC_SKS,0,0,0,0,0
M24,TRUE,Weapon,REC_M24,0,0,0,0,0
M82B,TRUE,Weapon,REC_M82B,0,0,0,0,0
AWM,TRUE,Weapon,REC_AWM,0,0,0,0,0
Pan,TRUE,Weapon,REC_PAN,0,0,0,0,0
Parang,TRUE,Weapon,REC_PARANG,0,0,0,0,0
Bat,TRUE,Weapon,REC_BAT,0,0,0,0,0
Scythe,TRUE,Weapon,REC_SCYTHE,0,0,0,0,0
Katana,TRUE,Weapon,REC_KATANA,0,0,0,0,0
Mini Uzi,TRUE,Weapon,REC_UZI,0,0,0,0,0
Desert Eagle,TRUE,Weapon,REC_DE,0,0,0,0,0
RGS-50,TRUE,Weapon,REC_RGS,0,0,0,0,0
Flamethrower,TRUE,Weapon,REC_FLAMETHROWER,0,0,0,0,0
Hookgun,TRUE,Weapon,REC_HOOKGUN,0,0,0,0,0
Med Kit,FALSE,Consumables,,300,1000,0,0,0
Super Med Kit,FALSE,Consumables,,300,1000,0,0,0
Grenade,FALSE,Consumables,,300,1000,0,0,0
Freeze Grenade,FALSE,Consumables,,300,1000,0,0,0
Vest I,FALSE,Armor,,1000,1000,0,0,0
Vest II,FALSE,Armor,,300,1000,0,0,0
Vest III,FALSE,Armor,,300,1000,0,0,0
Vest IV,FALSE,Armor,,300,1000,0,0,0
Helmet I,FALSE,Armor,,300,1000,0,0,0
Helmet II,FALSE,Armor,,300,1000,0,0,0
Helmet III,FALSE,Armor,,300,1000,0,0,0
Helmet IV,FALSE,Armor,,300,1000,0,0,0
Scope Lv.1,TRUE,Accessory,REC_SCOPE_1,300,1000,0,0,0
Scope Lv.2,TRUE,Accessory,REC_SCOPE_2,300,1000,0,0,0
Scope Lv.3,TRUE,Accessory,REC_SCOPE_3,300,1000,0,0,0
Muzzle Lvl.1,TRUE,Accessory,REC_MUZZLE_1,300,1000,0,0,0
Muzzle Lvl.2,TRUE,Accessory,REC_MUZZLE_2,300,1000,0,0,0
Muzzle Lvl.3,TRUE,Accessory,REC_MUZZLE_3,300,1000,0,0,0
Magazine Lvl.1,TRUE,Accessory,REC_MAGAZINE_1,300,1000,0,0,0
Magazine Lvl.2,TRUE,Accessory,REC_MAGAZINE_2,300,1000,0,0,0
Magazine Lvl.3,TRUE,Accessory,REC_MAGAZINE_3,300,1000,0,0,0
Foregrip Lvl.1,TRUE,Accessory,REC_FOREGRIP_1,300,1000,0,0,0
Foregrip Lvl.2,TRUE,Accessory,REC_FOREGRIP_2,300,1000,0,0,0
Foregrip Lvl.3,TRUE,Accessory,REC_FOREGRIP_3,300,1000,0,0,0
Stock Lvl.1,TRUE,Accessory,REC_STOCK_1,300,1000,0,0,0
Stock Lvl.2,TRUE,Accessory,REC_STOCK_2,300,1000,0,0,0
Stock Lvl.3,TRUE,Accessory,REC_STOCK_3,300,1000,0,0,0
