Name,In Use,Type,Recipe ID \ Material ID,Material,Gold,Wood Log,Copper Ore,Iron Ore
,,,,,,WOOD_LOG,COPPER_ORE,IRON_ORE
M1887,TRUE,Weapon,REC_M1887,100,1000,100,0,0
AN94,TRUE,Weapon,REC_AN94,100,1000,0,100,0
MP5,TRUE,Weapon,REC_MP5,100,1000,0,100,0
Kar98,TRUE,Weapon,REC_KAR98,100,1000,100,0,0
Pan,TRUE,Weapon,REC_PAN,100,1000,0,0,100
Med Kit,FALSE,Consumables,,300,1000,0,0,0
Super Med Kit,FALSE,Consumables,,300,1000,0,0,0
Grenade,FALSE,Consumables,,300,1000,0,0,0
Freeze Grenade,FALSE,Consumables,,300,1000,0,0,0
Vest I,FALSE,Armor,,1000,1000,0,0,0
Vest II,FALSE,Armor,,300,1000,0,0,0
Vest III,FALSE,Armor,,300,1000,0,0,0
Vest IV,FALSE,Armor,,300,1000,0,0,0
Helmet I,FALSE,Armor,,300,1000,0,0,0
Helmet II,FALSE,Armor,,300,1000,0,0,0
Helmet III,FALSE,Armor,,300,1000,0,0,0
Helmet IV,FALSE,Armor,,300,1000,0,0,0
Scope x2,FALSE,Accesory,,300,1000,0,0,0
Scope x4,FALSE,Accesory,,300,1000,0,0,0
Extended Mag,FALSE,Accesory,,300,1000,0,0,0
Suppresor,FALSE,Accesory,,300,1000,0,0,0
